Initalisierung abgeschlossen !
****************************************************************************************
Taste drücken, um Phase 1 zu starten.
Start Phase 1: Beide Tore werden jetzt mit PWM=200 bis zum Anschlag geöffnet (PHASE1_OPENING)....
Initiale Werte:	4482;	 st:1;	 PWM-R:0;	 PWM-L:0;	 I-R:0;	 I-L:0;	 I-R-Lim:0;	 I-L-Lim:0;	 PWM-R-Ziel:200;	 PWM-L-Ziel:200;	 R-Blk:0;	 L-Blk:0
Start Phase 1: Das linke Tor hat jetzt den Anschlag erreicht (PHASE1_OPENING)....
Start Phase 1: Das rechte Tor hat jetzt den Anschlag erreicht (PHASE1_OPENING)....
Phase 1: Beide Tore sind nun bis zum Anschlag geöffnet und gestoppt
Phase 1: ...  3 Sekunden Pause zur Beruhigung der Tore .....
Phase 1: Ermitteln des erforderlichen PWM-Wertes für Erkennung Überlast/Anschlag beginnt (PHASE1_TESTING)....
Initiale Werte:	14544;	 st:2;	 PWM-R:0;	 PWM-L:0;	 I-R:340;	 I-L:0;	 I-R-Lim:290;	 I-L-Lim:290;	 PWM-R-Ziel:200;	 PWM-L-Ziel:200;	 R-Blk:0;	 L-Blk:0
14556:	 PWM(L): 0;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
Neuer PWM-Wert: 10
14565:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
14572:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14579:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14586:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14593:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14600:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14607:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14614:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14621:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14628:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
14636:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14643:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14650:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14656:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14663:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14670:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14678:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14685:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14692:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14699:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14706:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14713:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14720:	 PWM(L): 10;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 1
14727:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14734:	 PWM(L): 10;	 aktuelle Stromstärke: 2;	 Stromstärke (vorheriger Wert): 0
14741:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14748:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14755:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14763:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 3
14770:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14777:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14783:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14790:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14797:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14804:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14812:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14819:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14826:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14833:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14840:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14846:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
14854:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14861:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
14868:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14875:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14882:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14889:	 PWM(L): 10;	 aktuelle Stromstärke: 3;	 Stromstärke (vorheriger Wert): 1
14897:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14904:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14910:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14917:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
14924:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14931:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 3
14939:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14946:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14953:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
14960:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 2
14967:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
14973:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
14981:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14988:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
14995:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 1
15002:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
15009:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
15016:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 1
15024:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15031:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15037:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15044:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15051:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15058:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
15066:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15073:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15080:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15087:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15094:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15100:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 2
15108:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15115:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15122:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15129:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15136:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15143:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15151:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15158:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15164:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15171:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15178:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15185:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15193:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15200:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15207:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15214:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15221:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15227:	 PWM(L): 10;	 aktuelle Stromstärke: 1;	 Stromstärke (vorheriger Wert): 0
15235:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15242:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15249:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15256:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15263:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15270:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15278:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15285:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15291:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15298:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
15305:	 PWM(L): 10;	 aktuelle Stromstärke: 0;	 Stromstärke (vorheriger Wert): 0
